epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,341.434,0.38652,0.38605,0.95438,0.59864,0.46497,0.51523,0.32342,1.57674,1.88839,1.88999,0.0005941,0.0005941,0.0005941
43,349.64,0.38877,0.37983,0.95129,0.56717,0.41538,0.47721,0.30975,1.61825,2.38233,1.93681,0.0005842,0.0005842,0.0005842
44,357.604,0.37686,0.36312,0.95483,0.63804,0.37266,0.50576,0.32768,1.582,2.31128,1.88526,0.0005743,0.0005743,0.0005743
45,365.66,0.37757,0.36626,0.95216,0.62652,0.49165,0.56147,0.38002,1.49454,2.0597,1.80536,0.0005644,0.0005644,0.0005644
46,373.789,0.37666,0.36615,0.95249,0.5569,0.41806,0.51196,0.33466,1.50401,2.12784,1.82604,0.0005545,0.0005545,0.0005545
47,381.98,0.37848,0.3603,0.94679,0.66634,0.40768,0.5068,0.34628,1.56997,2.36356,1.92963,0.0005446,0.0005446,0.0005446
48,389.813,0.36356,0.34821,0.94517,0.65938,0.37088,0.50295,0.33851,1.49342,2.37072,1.81946,0.0005347,0.0005347,0.0005347
49,397.718,0.37846,0.35124,0.949,0.68967,0.41374,0.54513,0.37429,1.53848,2.28808,1.87647,0.0005248,0.0005248,0.0005248
50,405.717,0.35351,0.3427,0.94423,0.60226,0.53845,0.56503,0.38118,1.47813,1.86225,1.83309,0.0005149,0.0005149,0.0005149
51,414.308,0.36007,0.34148,0.94354,0.63258,0.42467,0.49058,0.32706,1.56827,2.16562,1.91772,0.000505,0.000505,0.000505
52,422.337,0.36233,0.34793,0.94463,0.59865,0.53775,0.57763,0.38388,1.46932,1.8444,1.78352,0.0004951,0.0004951,0.0004951
53,430.598,0.35841,0.33429,0.9365,0.67232,0.49958,0.5906,0.3826,1.55403,1.985,1.96239,0.0004852,0.0004852,0.0004852
54,438.601,0.36155,0.33059,0.93616,0.69909,0.5581,0.61926,0.41702,1.4928,1.74147,1.87235,0.0004753,0.0004753,0.0004753
55,446.553,0.35227,0.3302,0.93531,0.69297,0.4966,0.58384,0.37911,1.52438,2.02688,1.91161,0.0004654,0.0004654,0.0004654
56,454.56,0.34776,0.32327,0.93566,0.66057,0.44692,0.53762,0.33968,1.63024,2.11336,1.96063,0.0004555,0.0004555,0.0004555
57,462.647,0.35864,0.33186,0.9431,0.59708,0.45983,0.50875,0.30927,1.69282,2.3616,2.03502,0.0004456,0.0004456,0.0004456
